wallet,symbol,realizedCashAmount,realizedROI,unrealizedCashAmount,unrealizedROI
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,MAX,3348.8,39.7,-88.04,-1.8
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,TRENCHES,2315.67,260,NaN,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,TETSUO,9115.66,10.9,NaN,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,REGRET,5535.64,136.5,NaN,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,GAL,8205.55,69.1,NaN,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,BUDDY,3305.92,297.7,NaN,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,MAX,3260.76,24.6,-88.04,-1.8
12L63BUpPKi8ZDdD1Kj5dsyPcozjAc1vTQpVwLbBa19H,FLAT,6717.47,158.9,78.78,5.9
12L63BUpPKi8ZDdD1Kj5dsyPcozjAc1vTQpVwLbBa19H,AINTI,6362.78,788.9,NaN,0
12L63BUpPKi8ZDdD1Kj5dsyPcozjAc1vTQpVwLbBa19H,JOWNES,1290.46,20.3,NaN,0
12L63BUpPKi8ZDdD1Kj5dsyPcozjAc1vTQpVwLbBa19H,FLAT,6796.25,122,78.78,5.9
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,MOTHER,7427.79,7.7,NaN,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,BTW,4931.57,40.2,NaN,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DOGE,1896.74,9.1,NaN,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,MOODENG,1118.59,41.6,NaN,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DOLLAR,1892.64,25.6,NaN,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,GAY,8039.63,92.6,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LOLA,5170.39,31,-2624.42,-97.9
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LOLA,2545.96,13.2,-2624.42,-97.9
