wallet,name,unrealizedPnl,realizedProfit,totalProfit,balanceUsd,position,buyAmount,buyPrice,sellAmount,sellPrice,totalBuyTxn,totalSellTxn
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,PEE14h,Sell All,-$287.48-81%,-$287.48-81%,$00,0%,354.94,0.0107,67.46,0.002,1,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SOL15h,$00%,HODL,$00%,$0.9860.004,100%,0,0,0,0,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,KERMIT2d,-$18.4-98.9%,HODL,-$18.4-98.9%,$0.21148.9K,100%,18.61,0.0001,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HYPEHIVE2d,-$17.46-99.2%,HODL,-$17.46-99.2%,"$0.146,625.39",100%,17.6,0.0026,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,COTD4d,-$6.57-53.5%,-$42.88-40%,-$49.45-41.4%,"$5.7123,225.02",10.27%,119.49,0.0005,64.34,0.0003,2,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,POTUS4d,-$199.54-100%,HODL,-$199.54-98.6%,$0.002154.71,100%,199.54,1.2897,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SOM7d,Sell All,+$150.42+17.5%,+$150.42+17.5%,$00,0%,860.48,0.0002,"1,010.9",0.0002,1,6
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,MEMEOS10d,Sell All,-$13.32-6.8%,-$13.32-6.8%,$00,0%,196.02,0.0024,182.71,0.0022,1,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,MIKO11d,-$6.94-100%,-$452.14-91.4%,-$459.08-91.5%,$0.003565.36,1.39%,501.54,0.0122,42.46,0.001,2,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,FREELUIGI11d,Sell All,+$70.24+48.3%,+$70.24+48.3%,$00,0%,145.4,0.0004,215.64,0.0007,1,4
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,DAPE12d,-$179.27-100%,HODL,-$179.27-100%,"$043,509.43",100%,179.27,0.0041,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,ALARMO15d,Sell All,-$45.9-24%,-$45.9-24%,$00,0%,191.34,0.0069,145.43,0.0052,1,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,RIF17d,-$161.04-100%,HODL,-$161.04-100%,"$022,488.88",100%,161.04,0.0071,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,CHILLXRP21d,Sell All,$00%,$00%,$00,100%,0,0,"2,606.9",0.0055,0,4
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,RPS24d,Sell All,-$11.92-92%,-$11.92-92%,$00,0%,12.95,0.9148,1.03,0.073,1,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HAMLET27d,-$344.56-100%,HODL,-$344.56-100%,"$0.00519,158.07",100%,344.57,0.0179,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,NALA28d,-$15.57-100%,HODL,-$15.57-100%,"$0.0033,333.37",100%,15.57,0.0046,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HZI29d,-$25.35-100%,HODL,-$25.35-100%,"$017,941.24",100%,25.35,0.0014,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,uwu31d,Sell All,-$354.6K-89%,-$354.6K-89%,$00,0%,398.4K,0.1522,43.8K,0.0167,1,22
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,NACY31d,-$16.66-100%,HODL,-$16.66-100%,$031.18,100%,16.66,0.5342,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,JINO31d,Sell All,-$71.28-13%,-$71.28-13%,$00,0%,550.24,0.0004,478.96,0.0003,1,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,NAILOONG32d,"-$1,327.46-100%",HODL,"-$1,327.46-100%","$0.00837,304.69",100%,"1,327.47",0.0355,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,PECMAN33d,-$554.42-99.9%,+$7.85+0.8%,-$546.57-36.5%,"$0.32527,313.76",37.05%,"1,497.37",0.0203,950.48,0.0204,1,2
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,ISS34d,Sell All,$00%,$00%,$00,100%,0,0,52.88,0.001,0,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SATOSHI35d,Sell All,+$73.25+9.8%,+$73.25+9.8%,$00,0%,745.43,0.0006,818.67,0.0006,1,2
